1,Sigiriya,Ancient rock fortress with frescoes and gardens,5,2,30,LKR,7.957,80.7603,Bus from Dambulla,January to April,null
2,Temple of the Tooth,Sacred Buddhist temple in the city of Kandy,4,2,10,LKR,7.2936,80.6411,Bus or train to Kandy,December to April,null
3,Yala National Park,"Wildlife park with elephants, leopards, and birds",9,3,20,LKR,6.3619,81.5204,Bus from Tissamaharama,February to July,null
4,Galle Fort,Historic fortress with museums and shops,7,3,Free,N/A,6.0329,80.217,Bus or train to Galle,January to April,null
5,Ella,Scenic hill town with tea plantations and waterfalls,22,8,Free,N/A,6.8754,81.0463,Train from Kandy or Colombo,January to April,null
6,Horton Plains,National park with World's End cliff and Baker's Falls,6,2,20,LKR,6.8046,80.8064,Bus from Nuwara Eliya,January to April,null
7,Adams Peak,Sacred mountain with pilgrimage trail,24,9,Free,N/A,6.8097,80.4995,Bus from Hatton or Ratnapura,December to May,null
8,Pinnawala Elephant,Orphanage for elephants with feeding and bathing,25,9,20,LKR,7.2906,80.409,Bus from Kegalle,January to April,null
9,Mirissa,Beach town known for whale watching and surfing,8,3,Free,N/A,5.9489,80.4542,Bus from Matara,November to April,null
10,Polonnaruwa,Ancient city with ruins of palaces and temples,21,7,25,LKR,7.9397,81.0017,Bus from Habarana,January to April,null
11,Anuradhapura,Ancient city with stupas and temples,20,7,20,LKR,8.3114,80.4037,Bus from Dambulla,April to September,null
12,Bentota,Coastal town with beaches and water sports,7,3,Free,N/A,6.4255,80.0018,Train from Colombo,October to April,null
13,Dambulla Cave Temple,Buddhist temple complex with cave paintings,5,2,10,LKR,7.8561,80.6495,Bus from Sigiriya,January to April,null
14,Udawalawe,National park with elephants and bird watching,24,9,15,LKR,6.4663,80.7984,Bus from Ratnapura,February to July,null
15,Arugam Bay,Popular beach for surfing and laid-back atmosphere,16,5,Free,N/A,6.8382,81.8383,Bus from Pottuvil,April to October,null
16,Nuwara Eliya,Hill town with colonial architecture and tea gardens,6,2,Free,N/A,6.9497,80.7891,Train from Kandy,February to April,null
17,Trincomalee,Coastal town with historical sites and beaches,17,5,Free,N/A,8.5874,81.2152,Bus from Colombo,April to October,null
18,Jaffna,Northern city with temples and colonial buildings,10,4,Free,N/A,9.6615,80.0255,Train or bus from Colombo,January to April,null
19,Wilpattu,National park with leopards and wildlife,19,6,25,LKR,8.4095,80.1515,Bus from Anuradhapura,February to October,null
20,Colombo,Capital city with historical sites and modern amenities,1,1,Free,N/A,6.9271,79.8612,Bus or train from anywhere,November to April,null
21,Sinharaja Forest Reserve,Biodiversity hotspot with unique flora and fauna,24,9,20,LKR,6.4,80.5,Bus from Ratnapura,January to April,null
22,Kandy Lake,Artificial lake in the heart of Kandy,4,2,Free,N/A,7.2906,80.6405,Walking distance from Kandy city,December to April,null
23,Ramboda Falls,Stunning waterfall with viewpoints and trails,6,2,Free,N/A,7.0585,80.7531,Bus from Nuwara Eliya,January to April,null
24,Kelaniya Raja Maha Vihara,Historic Buddhist temple with ancient relics,2,1,Free,N/A,6.9553,79.9163,Bus from Colombo,January to April,null
25,Mahiyanganaya Temple,Sacred Buddhist site with ancient dagoba,22,8,Free,N/A,7.3451,81.0166,Bus from Badulla,January to April,null
26,Madu River,Scenic river with boat safaris and mangrove forests,7,3,Free,N/A,6.2968,80.037,Bus from Balapitiya,January to April,null
27,Gal Oya National Park,National park with unique boat safaris,16,5,20,LKR,7.1235,81.4356,Bus from Ampara,January to April,null
28,Bundala National Park,Coastal wetland with rich birdlife,9,3,20,LKR,6.2111,81.1798,Bus from Hambantota,December to April,null
29,Pigeon Island,Marine national park with coral reefs and snorkeling,17,5,15,LKR,8.7184,81.2166,Boat from Nilaveli,April to October,null
