place_id,place_name,type,tags
101,Hotel Sigiriya,Hotel,"Scenic, Relaxation"
102,Galle Face Hotel,Hotel,"Urban, Beach"
103,Jetwing Lighthouse,Hotel,"Scenic, Beach"
104,Heritance Kandalama,Hotel,"Nature, Eco-Tourism"
105,Cinnamon Grand,Hotel,"Urban, Luxury"
1,Sigiriya,Historical,"UNESCO World Heritage Site, Cultural"
2,Temple of the Tooth,Religious,"UNESCO World Heritage Site, Pilgrimage"
3,Yala National Park,Wildlife,"Adventure, Nature"
4,Galle Fort,Historical,"UNESCO World Heritage Site, Cultural"
5,Ella,Hill Country,"Scenic, Adventure"
6,Horton Plains,Nature,"Scenic, Hiking"
7,Adams Peak,Religious,"Pilgrimage, Hiking"
8,Pinnawala Elephant,Wildlife,"Family Friendly, Nature"
9,Mirissa,Beach,"Water Sports, Relaxation"
10,Polonnaruwa,Historical,"UNESCO World Heritage Site, Cultural"
11,Anuradhapura,Historical,"UNESCO World Heritage Site, Cultural"
12,Bentota,Beach,"Water Sports, Relaxation"
13,Dambulla Cave Temple,Religious,"UNESCO World Heritage Site, Pilgrimage"
14,Udawalawe,Wildlife,"Nature, Adventure"
15,Arugam Bay,Beach,"Water Sports, Surfing"
16,Nuwara Eliya,Hill Country,"Scenic, Tea Plantation"
17,Trincomalee,Beach,"Water Sports, Historical"
18,Jaffna,Urban,"Historical, Cultural"
19,Wilpattu,Wildlife,"Nature, Adventure"
20,Colombo,Urban,"Shopping, Nightlife"
21,Sinharaja Forest Reserve,Nature,"Eco-Tourism, Hiking"
22,Kandy Lake,Urban,"Scenic, Relaxation"
23,Ramboda Falls,Nature,"Scenic, Hiking"
24,Kelaniya Raja Maha Vihara,Religious,"Pilgrimage, Cultural"
25,Mahiyanganaya Temple,Religious,"Pilgrimage, Historical"
26,Madu River,Nature,"Scenic, Eco-Tourism"
27,Gal Oya National Park,Wildlife,"Nature, Adventure"
28,Bundala National Park,Wildlife,"Bird Watching, Nature"
29,Pigeon Island,Nature,"Snorkeling, Water Sports"
30,Kitulgala,Adventure,"White-water Rafting, Nature"
31,Minneriya National Park,Wildlife,"Elephant Gathering, Nature"
32,Knuckles Mountain Range,Nature,"Hiking, Scenic"
33,Sri Pada,Religious,"Pilgrimage, Hiking"
34,Lankatilaka Vihara,Religious,"Historical, Cultural"
35,Dondra Head Lighthouse,Scenic,"Photography, Historical"
36,Ruwanwelisaya,Religious,"Pilgrimage, Historical"
37,Koneswaram Temple,Religious,"Pilgrimage, Scenic"
38,Kaudulla National Park,Wildlife,"Elephant Gathering, Nature"
39,Ambalangoda,Cultural,"Mask Making, Scenic"
40,Wasgamuwa National Park,Wildlife,"Nature, Adventure"
41,Hikkaduwa,Beach,"Snorkeling, Relaxation"
42,Mulgirigala Raja Maha Vihara,Religious,"Historical, Scenic"
43,Meemure,Nature,"Scenic, Traditional"
44,Kudawella Blow Hole,Nature,"Scenic, Photography"
45,Seethawaka Botanical Garden,Nature,"Scenic, Relaxation"
46,Makandawa Forest Reserve,Nature,"Hiking, Bird Watching"
47,Dunhinda Falls,Nature,"Scenic, Hiking"
48,Viharamahadevi Park,Urban,"Relaxation, Family Friendly"
49,Richmond Castle,Historical,"Cultural, Photography"
50,Jaya Sri Maha Bodhi,Religious,"Pilgrimage, Historical"
51,Isurumuniya Vihara,Religious,"Historical, Cultural"
